id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
18443451,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,66538468,David And Amy,,"Old Town, Princes Street and Leith Street",55.94818,-3.19384,Entire home/apt,153,2,288,2023-09-08,3.73,1,97,93,
18445240,Condo in Edinburgh · ★4.59 · 2 bedrooms · 2 beds · 1 bath,127864664,Craig,,Stenhouse and Saughton Mains,55.93767,-3.25052,Entire home/apt,91,3,104,2023-09-10,1.60,1,112,22,
18458653,Townhouse in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,44689805,Louise,,"Blackford, West Mains and Mayfield Road",55.92844,-3.16925,Private room,45,3,154,2023-09-10,1.99,5,31,39,
18465647,Rental unit in Edinburgh · ★4.28 · 3 bedrooms · 4 beds · 1 bath,97355639,Serge,,Polwarth,55.93938,-3.22581,Entire home/apt,103,1,134,2023-07-13,1.75,1,1,21,
18467350,Rental unit in Edinburgh · ★4.89 · 2 bedrooms · 2 beds · 2 baths,40007944,Samantha,,"Canongate, Southside and Dumbiedykes",55.95062,-3.17703,Entire home/apt,276,2,123,2023-08-19,1.61,1,40,21,
18473197,Condo in Edinburgh · ★4.94 · 1 bedroom · 1 bed · 1.5 baths,128124695,Nina,,The Inch,55.9183,-3.15162,Entire home/apt,145,2,171,2023-08-20,2.27,1,186,17,
18473355,Home in Edinburgh · ★4.62 · 2 bedrooms · 1 bed · 1.5 shared baths,128127957,Solomon,,Colinton and Kingsknowe,55.91349,-3.27547,Private room,28,3,26,2020-01-02,0.34,1,0,0,
18481140,Townhouse in Edinburgh · ★4.94 · 1 bedroom · 1 bed · 1 private bath,44689805,Louise,,"Blackford, West Mains and Mayfield Road",55.92844,-3.16925,Private room,85,2,72,2023-09-06,0.93,5,42,21,
18484036,Rental unit in Edinburgh · ★4.86 · 2 bedrooms · 3 beds · 1.5 baths,3071816,Maureen,,Tollcross,55.94545,-3.20576,Entire home/apt,166,2,101,2023-08-22,1.31,5,75,34,
18487904,Rental unit in Edinburgh · ★4.77 · 1 bedroom · 2 beds · 1 bath,66780630,Central,,Bruntsfield,55.93819,-3.21455,Entire home/apt,71,2,22,2018-11-18,0.29,2,0,0,
18513314,Rental unit in Edinburgh · ★4.91 · 2 bedrooms · 3 beds · 1.5 baths,3071816,Maureen,,Tollcross,55.9463,-3.20606,Entire home/apt,176,2,102,2023-08-26,1.34,5,74,22,
18513346,Townhouse in Edinburgh · ★5.0 · 4 bedrooms · 4 beds · 2.5 baths,128503202,Veronica,,"Canongate, Southside and Dumbiedykes",55.95272807076034,-3.176344461758473,Entire home/apt,266,7,3,2019-08-24,0.04,1,355,0,
18513392,Rental unit in Edinburgh  · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,8579520,Albert,,"Old Town, Princes Street and Leith Street",55.95303,-3.199,Private room,75,2,192,2023-08-28,2.49,2,33,58,
18521693,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 2 beds · 1 bath,128368641,Jeremy,,"Inverleith, Goldenacre and Warriston",55.96923,-3.20796,Entire home/apt,150,2,180,2023-09-10,2.34,1,71,31,
18524831,Rental unit in Edinburgh · ★4.79 · 1 bedroom · 2 beds · 1 bath,128591402,Daria,,"Old Town, Princes Street and Leith Street",55.9503,-3.18944,Entire home/apt,65,2,66,2020-09-27,0.85,2,0,0,
18543877,Rental unit in Edinburgh · ★4.77 · 1 bedroom · 1 bed · 1 bath,76180596,James And Co,,Canonmills and New Town North,55.96165,-3.19829,Entire home/apt,138,2,216,2023-09-01,3.25,1,6,51,
18546303,Condo in Edinburgh · ★4.67 · 1 bedroom · 1 bed · 1 bath,44290523,Zoe,,Broughton North and Powderhall,55.965,-3.19255,Entire home/apt,295,4,3,2022-09-04,0.23,1,179,0,
18551742,Rental unit in Edinburgh · ★4.80 · 2 bedrooms · 2 beds · 2 baths,202221199,Barbara,,Broughton South,55.96782,-3.18661,Entire home/apt,187,1,576,2023-09-10,7.46,5,0,100,
18589242,Rental unit in Edinburgh · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,128628699,Arun,,Willowbrae and Duddingston Village,55.94468,-3.14123,Private room,650,1,6,2017-08-07,0.08,1,90,0,
18595978,Rental unit in Edinburgh · ★4.72 · 2 bedrooms · 2 beds · 1 bath,125638407,Rosy,,Bruntsfield,55.93739,-3.20957,Entire home/apt,121,4,286,2023-08-23,3.71,1,4,59,
18603138,Home in Edinburgh · ★4.88 · 5 bedrooms · 6 beds · 3.5 baths,129196815,Diane,,Cramond,55.9679,-3.30527,Entire home/apt,440,4,32,2023-08-17,0.43,1,0,5,
18609453,Townhouse in Edinburgh · ★4.78 · 1 bedroom · 1 bed · 1 shared bath,101731795,Mike,,"Blackford, West Mains and Mayfield Road",55.92949,-3.16859,Private room,45,7,393,2023-09-09,5.21,8,4,26,
18612868,Rental unit in Edinburgh · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,101492920,Alla,,Great Junction Street,55.97227,-3.17509,Private room,75,2,15,2023-08-29,0.20,1,159,5,
18613401,Rental unit in Edinburgh · ★4.72 · 1 bedroom · 2 beds · 1.5 baths,71694286,Jackie,,Hillside and Calton Hill,55.95972,-3.16942,Entire home/apt,46,2,200,2021-08-11,2.59,2,0,0,
18614667,Rental unit in Edinburgh · ★4.94 · 1 bedroom · 1 bed · 2 baths,4762148,Magdalena,,Broughton South,55.96539,-3.1859,Private room,80,2,140,2023-09-10,1.83,1,1,23,
18623625,Rental unit in Edinburgh · ★5.0 · 1 bedroom · 1 bed · 1 private bath,26865852,Rebecca,,Deans Village,55.94512,-3.23304,Private room,80,2,5,2019-01-02,0.07,1,0,0,
18627028,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,118067265,Asmaa,,Northfield and Piershill,55.94907,-3.13315,Private room,60,4,131,2023-09-09,1.71,1,93,16,
18628259,Hotel in Ingliston · ★4.0 · 1 bedroom · 4 beds · 1.5 shared baths,27210189,Edinburgh Festival Camping,,"Ratho, Ingliston and Gogar",55.94149,-3.37776,Private room,80,1,5,2021-08-29,0.07,3,0,0,
18632011,Rental unit in Edinburgh · ★4.83 · 1 bedroom · 2 beds · 1 bath,67863557,Inger Lise,,"Old Town, Princes Street and Leith Street",55.95052,-3.18622,Entire home/apt,134,3,124,2023-08-21,2.28,4,20,38,
18636570,Rental unit in Edinburgh · ★4.84 · 1 bedroom · 1 bed · 1 bath,35057562,Arnold,,Restalrig (Loganlea) and Craigentinny West,55.95812,-3.14506,Entire home/apt,50,2,128,2020-10-30,1.66,2,0,0,
18669680,Rental unit in Edinburgh · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,36124186,Andy,,"Blackford, West Mains and Mayfield Road",55.92443,-3.17814,Private room,46,4,27,2023-08-29,0.37,1,220,13,
18696515,Rental unit in Edinburgh · ★4.44 · 3 bedrooms · 5 beds · 2 baths,129978435,Nick & Adele,,Merchiston and Greenhill,55.93007,-3.21424,Entire home/apt,110,1,52,2020-08-14,0.68,1,0,0,
18718644,Rental unit in Edinburgh · ★4.73 · 2 bedrooms · 4 beds · 1 bath,45439290,Quirky,,South Leith,55.96555,-3.16968,Entire home/apt,204,2,139,2023-07-25,1.81,4,105,17,
18728640,Rental unit in Edinburgh · ★5.0 · 3 bedrooms · 3 beds · 2 baths,40820544,Clyde,,Deans Village,55.95331,-3.20273,Entire home/apt,365,5,33,2023-08-17,0.43,2,0,8,
18753957,Rental unit in Edinburgh · ★4.91 · 1 bedroom · 2 beds · 1 shared bath,13722452,Rocío,,Bonnington,55.97112,-3.18486,Private room,50,2,70,2023-08-16,0.91,1,0,24,
18779160,Rental unit in Edinburgh · ★4.98 · 3 bedrooms · 4 beds · 2 baths,69212870,Claudia,,"Inverleith, Goldenacre and Warriston",55.96869,-3.21142,Entire home/apt,290,3,111,2023-09-06,1.50,1,43,33,
18787480,Rental unit in Edinburgh · ★4.58 · 2 bedrooms · 2 beds · 1 bath,9717561,Anne,,"Old Town, Princes Street and Leith Street",55.95022,-3.18857,Entire home/apt,162,2,228,2023-08-24,3.01,2,300,56,
18803205,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 2 beds · 1 shared bath,9355946,Annabel,,Marchmont East and Sciennes,55.93945,-3.18668,Private room,45,2,177,2023-09-08,2.42,1,81,40,
18803583,Condo in Edinburgh · ★4.90 · 3 bedrooms · 3 beds · 1.5 baths,30054117,Surabhi,,Broughton South,55.96355,-3.1812,Entire home/apt,126,2,10,2021-09-19,0.39,1,0,0,
18816350,Rental unit in Edinburgh · ★4.82 · 2 bedrooms · 3 beds · 2 baths,63855917,Jason,,"Canongate, Southside and Dumbiedykes",55.95159,-3.17707,Entire home/apt,240,3,56,2023-09-03,0.74,9,29,13,Licence application (Pending) 101002022934
18816630,Rental unit in Edinburgh · ★4.64 · 2 bedrooms · 2 beds · 2 baths,9717561,Anne,,"Old Town, Princes Street and Leith Street",55.94902,-3.19319,Entire home/apt,157,2,186,2023-09-02,2.44,2,265,37,
18817501,Rental unit in Edinburgh · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,50069389,Will,,"Old Town, Princes Street and Leith Street",55.95025,-3.18901,Entire home/apt,106,2,227,2023-08-21,2.97,1,4,32,
18820294,Rental unit in Edinburgh · ★4.89 · 3 bedrooms · 4 beds · 1 bath,131037560,Tim & Katy,,Easter Road and Hawkhill Avenue,55.96463,-3.17265,Entire home/apt,173,2,135,2023-09-09,1.78,1,0,8,
18838852,Rental unit in Edinburgh · ★4.81 · 2 bedrooms · 2 beds · 1 bath,131201733,Michael And Martine,,Merchiston and Greenhill,55.93029,-3.21182,Entire home/apt,114,2,117,2023-08-27,1.53,1,8,18,
18862208,Home in Edinburgh · ★4.90 · 4 bedrooms · 4 beds · 2.5 baths,20923270,Daisy,,Comely Bank,55.95618,-3.21956,Entire home/apt,770,1,10,2022-12-04,0.14,8,85,1,
18866150,Condo in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,62894258,Joanna,,Stockbridge,55.96019,-3.20667,Entire home/apt,65,1,302,2023-09-07,3.99,1,5,79,
18867879,Condo in Edinburgh · ★5.0 · 1 bedroom · 1 bed · 1 private bath,20175536,Rich,,Hillside and Calton Hill,55.9604,-3.17605,Private room,103,2,143,2023-08-24,1.87,1,53,45,
18872762,Rental unit in Edinburgh · ★4.98 · 1 bedroom · 1 bed · 1 private bath,131494212,Joyce,,Dalry and Fountainbridge,55.94291,-3.21261,Private room,75,2,386,2023-08-30,5.03,1,116,78,
18891023,Rental unit in Edinburgh · ★4.47 · 1 bedroom · 2 beds · 1 bath,87462089,Monika,,The Shore and Constitution Street,55.97338,-3.16787,Entire home/apt,82,3,89,2023-08-23,1.16,2,52,35,
18905918,Rental unit in Edinburgh · ★4.67 · 2 bedrooms · 2 beds · 2 baths,646220,Reserve,,"Canongate, Southside and Dumbiedykes",55.9523,-3.17755,Entire home/apt,197,1,43,2023-07-12,0.62,51,0,12,
18924230,Rental unit in Edinburgh · ★4.68 · 2 bedrooms · 2 beds · 1 bath,646220,Reserve,,Marchmont West,55.9358,-3.1978,Entire home/apt,152,1,22,2023-08-17,0.29,51,3,5,
18924657,Townhouse in Edinburgh · ★4.81 · 4 bedrooms · 8 beds · 3 baths,131907591,Steve,,"Old Town, Princes Street and Leith Street",55.956,-3.19037,Entire home/apt,607,2,100,2023-08-28,1.35,3,259,37,
18931536,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,131888063,Catherine,,Trinity,55.97259,-3.2099,Private room,55,2,60,2023-09-07,0.78,1,275,39,
18938194,Rental unit in Edinburgh · 4 bedrooms · 8 beds · 3.5 baths,1267171,Aaron,,"Blackford, West Mains and Mayfield Road",55.92826,-3.16887,Entire home/apt,441,1,1,2018-01-01,0.01,3,0,0,
18946618,Rental unit in Edinburgh · ★4.78 · 2 bedrooms · 2 beds · 1 bath,92175092,Lien,,Abbeyhill,55.95576,-3.16714,Entire home/apt,176,2,358,2023-08-23,4.78,2,24,53,
18953827,Rental unit in Edinburgh · ★4.78 · 1 bedroom · 2 beds · 1 bath,132154817,Michel,,Willowbrae and Duddingston Village,55.95401,-3.14901,Entire home/apt,60,4,9,2019-09-08,0.12,1,0,0,
18957225,Rental unit in Edinburgh · ★4.84 · 2 bedrooms · 2 beds · 1 bath,15733681,Rachel,,Deans Village,55.95133,-3.20585,Entire home/apt,111,4,270,2023-08-26,3.61,1,62,63,
18960230,Townhouse in Edinburgh · ★4.96 · 4 bedrooms · 7 beds · 3.5 baths,117156610,Jenny,,Hillside and Calton Hill,55.95757,-3.179,Entire home/apt,700,3,24,2023-08-25,0.94,1,12,8,
